,DEPARTAMENTO,MUNICIPIO,CODIGO REGISTRO,FECHA REGISTRO,CAEB_SEP,CIRC,NOMBRE DE LA UNIDAD
0,COCHABAMBA,QUILLACOLLO,0309010464,1970-01-01,15419,4,PANADERIA - PASTELERIA: 360°GRADOS
1,COCHABAMBA,QUILLACOLLO,0309010464,1970-01-01,15411,4,PANADERIA - PASTELERIA: 360°GRADOS
2,LA PAZ,EL ALTO,0201043602,1970-01-01,26990,3,PLANTA DE ASFALTO GAM EL ALTO
3,COCHABAMBA,SIPE SIPE,0309020053,2001-04-07,15112,2,PELADORA DE POLLOS VILOMA
4,CHUQUISACA,CAMARGO,0107010005,2003-06-08,15512,3,BODEGA SAN ANTONIO
5,CHUQUISACA,CAMARGO,0107010005,2003-06-08,15521,3,BODEGA SAN ANTONIO
6,SANTA CRUZ,SANTA CRUZ DE LA SIERRA,0000002062,2003-11-19,36101,4,INDUSTRIA DE LA MADERA NAZARENO PURPURA CARPINTERIA
7,BENI,TRINIDAD,0000000514,2004-02-25,15512,3,BODEGA CEPAS DEL VALLE
8,BENI,TRINIDAD,0000000514,2004-02-25,15521,3,BODEGA CEPAS DEL VALLE
9,LA PAZ,EL ALTO,0201040119,2004-03-19,15133,4,INALBEX
10,LA PAZ,EL ALTO,0201040119,2004-03-19,15201,4,INALBEX
11,LA PAZ,EL ALTO,0201040119,2004-03-19,15512,4,INALBEX
12,TARIJA,CERCADO,0601010013,2004-06-28,15512,3,BODEGA CEPAS DEL VALLE
13,TARIJA,CERCADO,0601010013,2004-06-28,15521,3,BODEGA CEPAS DEL VALLE
14,LA PAZ,VIACHA,0000000760,2004-06-29,25209,4,CENTRO DE PROCESAMIENTO DE PLASTICO
15,COCHABAMBA,VINTO,0309040006,2004-07-05,24230,4,LABORATORIOS VALENCIA
16,LA PAZ,VIACHA,0000000755,2004-07-06,26941,2,SOCIEDAD BOLIVIANA DE CEMENTO SA
17,LA PAZ,VIACHA,0000000756,2004-07-30,15411,4,PANADERIA PETRONA
18,LA PAZ,VIACHA,0000000757,2004-08-25,26930,3,INCERPATZI
19,LA PAZ,VIACHA,0000000759,2004-08-31,26930,3,CERAMICA ALI
20,LA PAZ,VIACHA,0000000758,2004-08-31,26930,3,CERAMICA BLANCO
21,ORURO,ORURO,0401010037,2004-09-10,20220,4,"BARRACA ""LAS PALMERAS"""
22,LA PAZ,VIACHA,0000000761,2004-09-30,26930,3,CERAMICA CERAT
23,CHUQUISACA,CAMARGO,0107010006,2004-10-01,15512,1,SOCIEDAD AGROINDUSTRIAL EL RANCHO LTDA
24,LA PAZ,EL ALTO,0201040227,2004-10-06,15512,3,DESTILERIA EL CHICHEÑO
25,LA PAZ,VIACHA,0000000763,2004-10-15,26942,3,CALERA HEGOF
26,LA PAZ,EL ALTO,0201040239,2004-10-19,15543,3,INDUSTRIA DE BEBIDAS INBE
27,LA PAZ,EL ALTO,0201040239,2004-10-19,15512,3,INDUSTRIA DE BEBIDAS INBE
28,CHUQUISACA,CAMARGO,0107010011,2004-10-28,15512,4,"BODEGA ""CEPA DE ORO"""
29,CHUQUISACA,CAMARGO,0107010011,2004-10-28,15521,4,"BODEGA ""CEPA DE ORO"""
30,LA PAZ,VIACHA,0000000765,2004-11-03,18109,4,SOMBRERERIA PRIMAVERA
31,LA PAZ,VIACHA,0000000767,2004-11-03,18109,4,SOMBRERERIA FLORES
32,LA PAZ,VIACHA,0000000764,2004-11-03,18109,4,SOMBRERERIA ROSAURA
33,LA PAZ,VIACHA,0000000766,2004-11-03,18109,4,SOMBRERERIA MARINA
34,LA PAZ,VIACHA,0000000768,2004-11-04,18109,4,SOMBRERERIA MANIX
35,LA PAZ,VIACHA,0000000769,2004-11-04,18109,4,SOMBRERERIA LA NUEVA CALIDAD
36,COCHABAMBA,COLCAPIRHUA,0309050062,2004-11-05,26990,4,VITROFIBRA-FABICA DE TANQUES DE AGUA
37,LA PAZ,VIACHA,0000000771,2004-11-08,21091,3,INDESSA
38,LA PAZ,VIACHA,0000000770,2004-11-08,36990,4,CIERRES INCA SRL
39,COCHABAMBA,VINTO,0309040025,2004-11-23,15313,4,"CENTRO DE ELABORACION DE ALIMENTOS DE BOLIVIA ""CEAB S.R.L."""
40,COCHABAMBA,VINTO,0309040025,2004-11-23,15411,4,"CENTRO DE ELABORACION DE ALIMENTOS DE BOLIVIA ""CEAB S.R.L."""
41,COCHABAMBA,VINTO,0309040025,2004-11-23,15412,4,"CENTRO DE ELABORACION DE ALIMENTOS DE BOLIVIA ""CEAB S.R.L."""
42,CHUQUISACA,CAMARGO,0107010036,2005-07-04,15111,4,MATADERO MUNICIPAL CAMARGO
43,TARIJA,CERCADO,0601010048,2005-07-07,24290,3,EMPRESA HILANI
44,LA PAZ,EL ALTO,0201040431,2005-09-27,24112,3,ELABORACION DE ELECTROLITOS HERMELINDA QUISPE ZONA VILLA INGENIO
45,LA PAZ,EL ALTO,0201040444,2005-10-12,28920,3,MECANICA S.R.L
46,LA PAZ,VIACHA,0000000751,2005-11-17,15113,4,EMBUTIDOS DORITA
47,LA PAZ,EL ALTO,0201040480,2005-11-28,24112,3,RECARGADO DE BATERIAS HUANCA
48,LA PAZ,VIACHA,0000000752,2005-12-22,18109,4,DUVET
49,LA PAZ,VIACHA,0000000753,2005-12-30,15201,4,ASOCIACION DE PRODUCTORES LACTEOS DE VIACHA APROLAC -V
50,LA PAZ,VIACHA,0000000753,2005-12-30,15203,4,ASOCIACION DE PRODUCTORES LACTEOS DE VIACHA APROLAC -V
51,LA PAZ,EL ALTO,0201040505,2006-02-10,24290,3,QUIMICA ROCHA
52,LA PAZ,EL ALTO,0201040505,2006-02-10,24112,3,QUIMICA ROCHA
53,LA PAZ,EL ALTO,0201040510,2006-02-16,24112,3,PINTURA BOLIVIANA PINTABOL
54,SANTA CRUZ,SANTA CRUZ DE LA SIERRA,0000002110,2006-03-04,15113,4,FABRICA DE EMBUTIDOS
55,LA PAZ,EL ALTO,0201040519,2006-03-07,28920,3,TALLER CHUQUIAGO S.R.L
56,LA PAZ,EL ALTO,0201040532,2006-03-27,28920,3,TALLER BOLIMAR MOTORS IMPORT-EXPORT
57,LA PAZ,EL ALTO,0201040568,2006-05-19,24112,3,ELABORACION DE ELECTROLITOS DE JUSTINA MAMANI
58,LA PAZ,VIACHA,0000000754,2006-05-19,28910,3,ILUMIBOL
59,TARIJA,CERCADO,0601010086,2006-06-06,15521,3,EMPRESA KUHLMAN & COMPAÑIA LTDA
60,TARIJA,CERCADO,0601010086,2006-06-06,15512,3,EMPRESA KUHLMAN & COMPAÑIA LTDA
