concat,cod_depto,depto,cod_prov,prov,cod_mpio,mpio
010101,01,CHUQUISACA,01,OROPEZA,01,SUCRE
010102,01,CHUQUISACA,01,OROPEZA,02,YOTALA
010103,01,CHUQUISACA,01,OROPEZA,03,POROMA
010201,01,CHUQUISACA,02,AZURDUY,01,AZURDUY
010202,01,CHUQUISACA,02,AZURDUY,02,TARVITA
010301,01,CHUQUISACA,03,ZUDAÑEZ,01,ZUDAÑEZ
010302,01,CHUQUISACA,03,ZUDAÑEZ,02,PRESTO
010303,01,CHUQUISACA,03,ZUDAÑEZ,03,MOJOCOYA
010304,01,CHUQUISACA,03,ZUDAÑEZ,04,ICLA
010401,01,CHUQUISACA,04,TOMINA,01,PADILLA
010402,01,CHUQUISACA,04,TOMINA,02,TOMINA
010403,01,CHUQUISACA,04,TOMINA,03,SOPACHUY
010404,01,CHUQUISACA,04,TOMINA,04,ALCALA
010405,01,CHUQUISACA,04,TOMINA,05,EL VILLAR
010501,01,CHUQUISACA,05,HERNANDO SILES,01,MONTEAGUDO
010502,01,CHUQUISACA,05,HERNANDO SILES,02,HUACARETA
010601,01,CHUQUISACA,06,YAMPARAEZ,01,TARABUCO
010602,01,CHUQUISACA,06,YAMPARAEZ,02,YAMPARAEZ
010701,01,CHUQUISACA,07,NOR CINTI,01,CAMARGO
010702,01,CHUQUISACA,07,NOR CINTI,02,SAN LUCAS
010703,01,CHUQUISACA,07,NOR CINTI,03,INCAHUASI
010704,01,CHUQUISACA,07,NOR CINTI,04,VILLA CHARCAS
010801,01,CHUQUISACA,08,BELISARIO BOETO,01,VILLA SERRANO
010901,01,CHUQUISACA,09,SUD CINTI,01,VILLA ABECIA
010902,01,CHUQUISACA,09,SUD CINTI,02,CULPINA
010903,01,CHUQUISACA,09,SUD CINTI,03,LAS CARRERAS
011001,01,CHUQUISACA,10,LUIS CALVO,01,VILLA VACA GUZMAN
011002,01,CHUQUISACA,10,LUIS CALVO,02,TIOC GUARANI CHAQUEÑO DE HUACAYA
011003,01,CHUQUISACA,10,LUIS CALVO,03,MACHARETI
020101,02,LA PAZ,01,MURILLO,01,NUESTRA SEÑORA DE LA PAZ
020102,02,LA PAZ,01,MURILLO,02,PALCA
020103,02,LA PAZ,01,MURILLO,03,MECAPACA
020104,02,LA PAZ,01,MURILLO,04,ACHOCALLA
020105,02,LA PAZ,01,MURILLO,05,EL ALTO
020201,02,LA PAZ,02,OMASUYOS,01,ACHACACHI
020202,02,LA PAZ,02,OMASUYOS,02,VILLA ANCORAIMES
020203,02,LA PAZ,02,OMASUYOS,03,HUARINA
020204,02,LA PAZ,02,OMASUYOS,04,SANTIAGO DE HUATA
020205,02,LA PAZ,02,OMASUYOS,05,HUATAJATA
020206,02,LA PAZ,02,OMASUYOS,06,CHUA COCANI
020301,02,LA PAZ,03,PACAJES,01,COROCORO
020302,02,LA PAZ,03,PACAJES,02,CAQUIAVIRI
020303,02,LA PAZ,03,PACAJES,03,CALACOTO
020304,02,LA PAZ,03,PACAJES,04,COMANCHE
020305,02,LA PAZ,03,PACAJES,05,CHARAÑA
020306,02,LA PAZ,03,PACAJES,06,WALDO BALLIVIAN
020307,02,LA PAZ,03,PACAJES,07,NAZACARA DE PACAJES
020308,02,LA PAZ,03,PACAJES,08,SANTIAGO DE CALLAPA
020401,02,LA PAZ,04,CAMACHO,01,PUERTO ACOSTA
020402,02,LA PAZ,04,CAMACHO,02,MOCOMOCO
020403,02,LA PAZ,04,CAMACHO,03,PUERTO MAYOR DE CARABUCO
020404,02,LA PAZ,04,CAMACHO,04,HUMANATA
